TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
NRTQ3,0.00,,0.00,0.00,0.00,27.60,9.33,3.53,0.00,3.18,3.18,0.29,0.00,0.00,0.00,4.62,3.50,2.19,4.71,0.62,0.38,0.62,7.47,-12.02,,20.02,0.70,0.00,0.00
NTCO3,11.05,,-2.14,1.01,0.44,66.36,6.37,-33.04,11.11,14.05,2.94,0.27,0.71,1.99,-0.95,1.68,-47.14,-20.34,5.69,0.43,0.57,0.62,10.77,,76344659.00,10.94,-5.16,0.01,15188862109.85
NUTR3,2.80,,6.52,0.86,0.27,14.65,6.37,2.47,2.53,3.19,0.66,0.22,0.16,1.11,-1.03,1.50,13.15,4.16,18.50,0.32,0.68,1.68,25.86,-30.25,8871.67,3.27,0.43,-1.23,37084320.00
ODER3,0.00,,0.00,0.00,0.00,29.63,10.68,5.68,0.00,,2.76,0.42,0.00,0.00,0.00,3.69,8.01,4.03,4.57,0.50,0.50,0.71,11.90,16.73,,49.58,3.97,0.00,
ODER4,97.78,0.36,24.61,1.97,0.99,29.63,10.68,5.68,13.10,,2.76,0.42,1.40,1.94,-3.30,3.69,8.01,4.03,4.57,0.50,0.50,0.71,11.90,16.73,0.00,49.58,3.97,-0.93,
ODPV3,13.20,5.73,12.42,5.58,3.40,37.20,32.49,24.70,9.45,8.96,-0.49,-0.29,3.07,-37.05,-4.46,0.72,44.90,27.38,25.70,0.61,0.39,1.11,4.75,15.29,20193010.62,2.37,1.06,1.20,7204893775.20
OFSA3,21.55,3.37,8.88,1.77,0.88,51.27,80.12,12.14,1.35,1.65,0.30,0.39,1.08,2.09,-2.35,3.01,19.90,9.86,77.13,0.50,0.50,0.81,10.59,23.11,107201.62,12.19,2.43,0.06,1162601079.30
OGXP3,1.63,,-2.15,-0.98,0.92,,,,-9.26,-9.26,0.00,,,-0.98,,0.51,-45.53,-43.02,10.57,-0.94,1.94,0.00,,,,-1.67,-0.76,0.02,52747073.84
OIBR3,0.53,,0.01,-0.01,0.01,-103.32,-68.99,847.38,-0.15,-8.77,-8.61,,0.11,-0.08,-0.01,0.70,-95.87,71.54,34.71,-0.75,1.74,0.08,-30.86,,1172367.81,-44.41,42.57,0.00,185689970.74
OIBR4,7.33,,0.17,-0.17,0.12,-103.32,-68.99,847.38,-2.11,-8.77,-8.61,,1.46,-1.05,-0.17,0.70,-95.87,71.54,34.71,-0.75,1.74,0.08,-30.86,,113980.48,-44.41,42.57,0.00,185689970.74
OMGE3,27.57,,8.07,1081.64,383.33,32.08,37.95,18.16,3.86,3.87,0.00,1.16,1.47,3125.43,-528.30,1.81,13403.01,4750.01,10210.18,0.35,0.65,261.51,30.00,90.67,,0.03,3.42,0.03,5521562588.85
ONCO3,2.67,,-1.87,0.62,0.17,30.91,-6.50,-15.37,-4.41,-15.27,-10.85,1.52,0.29,1.83,-0.25,1.40,-33.18,-9.19,-6.27,0.28,0.70,0.60,,,10301462.33,4.31,-1.43,0.00,1765977056.76
OPCT3,6.80,,-157.58,1.48,0.48,25.33,12.29,-0.48,6.10,11.70,5.61,1.36,0.75,4.45,-0.70,1.54,-0.94,-0.31,6.03,0.33,0.67,0.65,31.17,,3548429.10,4.58,-0.04,1.15,1359724967.20
ORVR3,54.95,,119.85,3.77,1.31,45.52,28.34,4.48,18.94,22.41,3.48,0.69,5.37,6.70,-1.97,2.36,3.14,1.09,7.58,0.35,0.63,0.24,21.01,72.26,25794552.62,14.59,0.46,-1.85,5282171561.45
OSXB3,2.47,,-0.01,0.00,0.01,98.80,-1337.01,-2132.11,-0.01,-7.26,-7.25,,0.11,-0.01,-0.01,0.02,-17.64,-112.44,73.96,-6.37,7.38,0.05,39.92,,7562.10,-2827.35,-498.87,0.00,7775653.86
